Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
Frauenthal House,,"The Frauenthal House, at 2008 Arch Street is a Mediterranean and Colonial Revival style house that was created for Charles Frauenthal. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architects Thompson and Harding and constructed in 1919.  This yellow brick and stucco house features a green terra-cotta hipped roof and white Doric column’s supporting a second story balcony.",2008  S Arch,Governor's Mansion Historic District,1919,POINT (-92.280162555406 34.729302126604),-92.28016256,34.72930213,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1488/PU1488.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1488/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1488/PU1488_ai.pdf
"Stowers, Dan F Building",,"Dan Stowers Building, located at 1516 W. 3rd Street, was designed by and was home to the offices of local architect Dan Stowers. The building was completed in 1960, which was the beginning of a significant period of business for him. It was from this office that Mr. Stowers designed many Mid-Century Modern buildings for the City of North Little Rock, as well as numerous schools across the state. The structure was listed on the National Register of Historic Places on 9/28/2015.",1516  W 3rd,,1960,POINT (-92.288304855836 34.748719540563),-92.28830486,34.74871954,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4627/PU4627.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4627/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4627/PU4627_ai.pdf
"Pike, Albert Memorial Temple",,The Albert Pike Memorial Temple was built in 1924 in the Classical Revival style.  It was designed by fellow Mason George R. Mann and his partner Eugene Stern.  The temple is a three story limestone structure featuring a monumental columnade. It was built adjacent to and incorporated the 1902 Albert Pike Consistory.  The only portion of that building evident on the exterior is a second story balcony and three arched windows on the south façade.  The structure was listed on the National Register of Historic Places on 11/13/1986.,700  S Scott,,1922,POINT (-92.270704064871 34.74162904454),-92.27070406,34.74162904,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0245/PU0245.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0245/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0245/PU0245_ai.pdf
Matthews-Storey House,,The Matthews-Storey House is a Craftsman style Airplane Bungalow and was completed by December 1925. The airplane Bungalow is an uncommon type of Craftsman style architecture in Arkansas.  It was built by the Justin Matthews Company in the Westwood development.  The structure was listed on the National Register of Historic Places on 9/28/2015.,8115 Ascension,,1925,POINT (-92.366568823216 34.706788706274),-92.36656882,34.70678871,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8792/PU8792.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8792/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8792/PU8792_ai.pdf
Leiper-Scott House,,"The Leiper-Scott House, at 312 South Pulaski Street, is a Queen Anne and Colonial Revival style house that was built for George A. Leiper, a manager of the Arkansas State Penitentiary and later on a brick factory owner. Listed in the National Register of Historic Places in 5/1/1980, it was constructed in 1890 in the area that is now surrounding the state capital.  Richard Scott, a airbrake mechanic for the Missouri Pacific Railroad and his family lived in the house from 1933 until 1978.",312  S Pulaski,,1890,POINT (-92.285322161999 34.747699171691),-92.28532216,34.74769917,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3237/PU3237.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3237/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3237/PU3237_ai.pdf
White-Baucum House,,"The White-Baucum House is an architecturally significant structure with important historical associations.  The building with its strong principal entrance, dominants porches and careful detailing, is one of the earliest and best examples of Italianate architecture in the state. The home was constructed in 1869-1870 for Robert J. T. White. White was the Arkansas secretary of state at the time. The structure was listed on the National Register of Historic Places on 2/29/1980.",201  S Izard,,1870,POINT (-92.279817331231 34.748124326392),-92.27981733,34.74812433,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3254/PU3254.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3254/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3254/PU3254_ai.pdf
Arkansas Power & Light Building,,"The Arkansas Power and Light Building, located at 9th and Louisiana is an International style influenced by American architect Frank Lloyd Wright. It was listed in the National Register in 9/14/1992. The building was originally outfitted with the first electric heat pump system installed in an office building in the Little Rock metropolitan area.",900  S Louisiana,,1955,POINT (-92.273798410778 34.739974597185),-92.27379841,34.7399746,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3533/PU3533.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3533/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3533/PU3533_ai.pdf
"Frank, Joseph M House",,"The Joseph M. Frank house is located at 912 W. 4th St. The house was constructed in 1900 by Joseph M. Frank himself. It has Queen Anne and Classical Revival styles. In 1920 he was also recognized as a leading philanthropist. Mr. Frank ended up selling his home to William W. Wilson in 1908. After a series of families moved in and out of the house, it was converted into apartments in 1929. They were used as a multi-family dwelling until 1977.",912  W 4th,,1900,POINT (-92.280906142268 34.746784365723),-92.28090614,34.74678437,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3562/PU3562.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3562/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3562/PU3562_ai.pdf
"Mayer, Maxwell F House","Shuffield, Dr Joe House","The Maxwell F. Mayer House, located at 2016 Battery Street, is a classic example of an English and Tudor Revival style house. Listed in the National Register of Historic Places in 12/9/1994, it was designed by architect Maximilian F. Mayer and constructed in 1922. This two-and-one-half story red brick home features unique roof elevations with its mixture of gabled roofs and an arched porte-cochere.  The home is detailed with iron railings and limestone sills.",2016  S Battery,Central High School Neighborhood Historic District,1922,POINT (-92.294648718626 34.729765170127),-92.29464872,34.72976517,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5343/PU5343.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5343/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5343/PU5343_ai.pdf
First United Methodist Church,,"The First United Methodist Church, at 723 Center Street, is a pristine example of Romanesque Revival style structure. Listed in the National Register of Historic Places in 10/9/1986, it was designed by architect Frank B. Gibb and constructed in 1900.  This large, red brick and granite building features many different roof elevations from gabled roofs, pyramid roofs, and towers.  Intricate decorations are found throughout the façade in the immaculate stained glass windows and in the detailed brick work.  Important to note as well, this building is the location of the oldest Methodist congregation in Little Rock.",723  S Center,,1900,POINT (-92.273697974306 34.741703846516),-92.27369797,34.74170385,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3561/PU3561.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3561/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3561/PU3561_ai.pdf
Fulk Building,,The Fulk Building is located at 300 S. Main and was built in 1900. It was listed in the National Register of Historic Places on 11-13-1986 and has Romanesque Revival details. The building was built by Judge Francis M. Fulk. This site is also where the first Little Rock City Council meeting was held.,300  S Main,Main Street Commercial District,1900,POINT (-92.270954185222 34.74601659996),-92.27095419,34.7460166,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0197/PU0197.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0197/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0197/PU0197_ai.pdf
"Mann, George R Building",Urquhart Building/Adkins Building,"The George R. Mann Building, located at 115 E. Capitol Avenue has classical elements on the Capitol Street façade and the order and monumentality inherent in the Beaux Arts style.  Listed in the National Register of Historic Places 12-29-1983, it was designed by and named for the architect George R. Mann and constructed in 1906.  Mann had his offices here until the building was sold.   In 1911-12, the building was sold and renamed the Urquhart Building.",115  E Capitol,,1906,POINT (-92.270413176834 34.743767101884),-92.27041318,34.7437671,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0223/PU0223.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0223/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0223/PU0223_ai.pdf
Buhler House,,"The Buhler House, also known as the Buhler-Raney-Traylor House, at 1820 Fair Park Boulevard, is an English Revival style home with Spanish influence on the inside. Listed in the National Register of Historic Places in 4/25/1988, it was constructed in 1929 for Henry Buhler, who was unable to pay his builders and lost it.  The construction of brick, concrete, tile, and stone in this house was not the unusual part, but rather the complete steel frame, used in skyscrapers, placed in a residential house.  This house was at one point the “Most Unusual Home Ever Built in Arkansas” due to its woodless construction.",1820  Fair Park Blvd,,1929,POINT (-92.335131978258 34.734921208306),-92.33513198,34.73492121,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3311/PU3311.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3311/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3311/PU3311_ai.pdf
Holcomb Court Apartments,"Martin, Mahlon Apartments","The Holcomb Court Apartments, located at 2201 Main Street, is a Craftsman style building. Listed in the National Register of Historic Places in 4/7/1995, it constructed in 1925.  This brick, two-story 20 unit apartment complex was a symbol of the urbanization that was taking place in Little Rock during the time it was built.  The building was constructed to meet the modern needs of its work class tenants who could not afford to buy a home.",2201  S Main,South Main Residential Historic District,1920,POINT (-92.273366718895 34.727487554593),-92.27336672,34.72748755,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9994/PU9994.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9994/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9994/PU9994_ai.pdf
"Rose, U M School",,"The U.M. Rose School, now the James M. Cox Administration Building for Philander Smith College, stands as one of the finest examples of Federal Colonial Revival in this area of Little Rock.  The U. M. Rose School was named by the Little Rock School Board after Little Rock attorney and jurist noteworthy for his activity during Reconstruction. The structure was listed on the National Register of Historic Places on 12/8/1988 and was designed by Charles Thompson.",812  W 13th,Philander Smith College Historic District,1915,POINT (-92.281535126564 34.737945769538),-92.28153513,34.73794577,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1670/PU1670.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1670/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1670/PU1670_ai.pdf
Pulaski County Courthouse - 1912 Building,Pulaski County Courthouse Annex,"The edifice that is now known as the Pulaski County Courthouse actually consists of two different structures—the “Old” Pulaski County Courthouse, designed by Max A. Orlopp in 1886 and constructed between 1887 and 1889, and the “New” Pulaski County Courthouse, designed by George R. Mann in 1912 and constructed between 1913 and 1914.  The Pulaski County Courthouse is a successful and remarkably well- preserved Beaux Arts building. The structure was listed on the National Register of Historic Places on 10/18/1979.",405  W Markham,,1913,POINT (-92.274395017198 34.748290230903),-92.27439502,34.74829023,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3100/PU3100.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3100/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3100/PU3100_ai.pdf
